"code_insee_com","nom_com","RR_med","NBJRR5_med","NBJRR1_med","NBJRR10_med","Tmin_med","Tmax_med","Tens_vap_med","Force_vent_med","Insolation_med","Rayonnement_med","niveau_vie_median_2021"
46145,"Lachapelle-Auzac",74.1,5,9,2,8,17.35,10.8,2.3,3268.5,12172,21380
46147,"Lagardelle",61.5,4,7,2,7.9,19.35,11.6,3,3709,14404,22280
46148,"Lalbenque",58.45,4,9,2,14.1,25.4,10.7,2.2,3709,14404,23200
46149,"Lamagdelaine",96,6,7,3,6.1,17.3,10.7,2.2,3709,14404,24810
46151,"Lamothe-Cassel",75.5,5,9,2,7.1,17.35,10.7,2.8,3489,12601.5,20760
46152,"Lamothe-Fénelon",65,4,10,2,7.6,17.6,10.6,2.3,3360,12556,20870
46153,"Lanzac",72.8,4.5,9,2,8,17.35,10.8,2.3,3268.5,12172,22720
46154,"Laramière",67.3,4,9,2,12.15,25.25,10.6,1.9,3310,12085,19920
46155,"Larnagol",66.25,5,9.5,2,12.15,25.25,10.4,3.1,3493,13687,18380
46156,"Bellefont-La Rauze",77.85,5,10,2,6.1,17.3,10.7,2.2,3709,14404,24380
46157,"Larroque-Toirac",61.45,4,8,2,8.3,18.3,10.6,2.3,3383.5,12351.5,21650
46159,"Latouille-Lentillac",112.95,7,11,4,12.5,21.9,10.1,2.6,3349,12638,19940
46160,"Latronquière",112.95,7,11,4,12.5,21.9,10.1,2.2,3349,12638,20390
46161,"Lauresses",85.6,5,10,3,12.5,21.9,10.1,2.2,3349,12638,17950
46162,"Lauzès",96,6,7,3,7.1,17.35,10.7,2.8,3489,12601.5,20960
46164,"Lavercantière",53.8,3,8,1,6.9,17.4,10.3,1.6,3102,12018,18370
46165,"Lavergne",90.4,5,12,3,11.85,24.45,10.4,3.1,3493,13687,21210
46167,"Lentillac-du-Causse",96,6,7,3,5.8,18.8,10.7,2.8,3489,12601.5,21650
46168,"Lentillac-Saint-Blaise",66,5,8,2,7.5,17.7,10.7,2.3,3383.5,12351.5,23040
46169,"Léobard",68.2,5,10,2,6.9,17.4,10.3,1.6,3102,12018,22560
46170,"Leyme",90.4,5,12,3,13.25,23.6,10.1,2.6,3493,13687,23270
46171,"Lherm",61.5,4,7,2,7.9,19.35,11.6,1.6,3102,12018,19090
46172,"Lhospitalet",60.7,4,8,2,7.8,18.8,10.7,2.2,3709,14404,22890
46173,"Limogne-en-Quercy",67.3,4,9,2,12.15,25.25,11.1,2.3,3310,12085,21190
46174,"Linac",82.65,5,9,3,8.1,19.5,10.1,2.2,3349,12638,22690
46175,"Lissac-et-Mouret",61.45,4,8,2,8.3,18.3,10.6,2.3,3383.5,12351.5,24220
46176,"Livernon",81.9,5,10,3,6.6,20.3,10.4,3.1,3493,13687,21880
46177,"Loubressac",90.4,5,12,3,7,19.95,11.2,3.1,3493,13687,23950
46178,"Loupiac",72.8,4.5,9,2,7.6,17.6,10.6,2.3,3360,12556,22780
46179,"Lugagnac",71,5,9,2,12.15,25.25,11.1,2.3,3489,12601.5,22490
46180,"Lunan",66,5,8,2,8.1,19.5,10.7,2.3,3383.5,12351.5,25050
46182,"Luzech",61.5,4,7,2,7.9,19.35,11.6,2.2,3709,14404,22350
46183,"Marcilhac-sur-Célé",68.2,4,9,2,5.8,18.8,10.4,3.1,3493,13687,17750
46184,"Marminiac",61.5,4,7,2,8.1,19.6,11.6,1.6,3102,12018,19030
46185,"Martel",74.9,5,10,2,11.45,25.4,11.2,2.3,3268.5,12172,22420
46186,"Masclat",68.8,4,9,2,6.9,17.4,10.3,1.6,3102,12018,19780
46187,"Mauroux",66.4,4,9,2,7.9,19.35,11.6,3,3398,12700,21290
46188,"Maxou",77.85,5,10,2,6.1,17.3,10.7,2.2,3709,14404,23400
46189,"Mayrinhac-Lentour",90.4,5,12,3,11.85,24.45,10.4,3.1,3493,13687,21000
46190,"Mechmont",77.85,5,10,2,7.6,17.6,10.6,2.3,3360,12556,24220
46191,"Mercuès",59.55,4,8,2,6.1,17.3,10.7,2.2,3709,14404,21880
46192,"Meyronne",72.8,4.5,9,2,11.45,25.4,11.2,2.3,3268.5,12172,22380
46193,"Miers",87.2,5,11,3,11.85,24.45,11.2,3.1,3493,13687,19640
46194,"Milhac",68.2,5,10,2,6.9,17.4,10.3,1.6,3102,12018,19630
46195,"Molières",90.4,5,12,3,13.25,23.6,10.1,2.6,3383.5,12351.5,23580
46197,"Montat",60.7,4,8,2,6.1,17.3,10.7,2.2,3709,14404,25750
46198,"Montbrun",66.25,5,9.5,2,8.3,18.3,10.6,2.3,3383.5,12351.5,20900
46199,"Montcabrier",69.3,5,9,2,7.9,19.35,11.6,2.9,3398,12700,21960
46200,"Montcléra",61.5,4,7,2,7.9,19.35,11.6,1.6,3102,12018,18820
46201,"Montcuq-en-Quercy-Blanc",59.7,4,7,2,9.4,18.9,11.4,3,3709,14404,20160
46202,"Montdoumerc",62.8,4,9,2,14.1,25.4,10.7,2.2,3709,14404,21930
46203,"Montet-et-Bouxal",81.9,5,10,3,12.5,21.9,10.1,2.2,3349,12638,21360
46204,"Montfaucon",75.5,5,9,2,7.1,17.35,10.7,2.8,3489,12601.5,20370
46205,"Montgesty",61.5,4,7,2,7.9,19.35,11.6,1.6,3102,12018,21430
46207,"Montredon",89.55,5,10,3,3.7,15,10.1,2.2,3349,12638,22960
46208,"Montvalent",72.8,4.5,9,2,11.45,25.4,11.2,3.1,3493,13687,21760
46209,"Nadaillac-de-Rouge",72.8,4.5,9,2,8.2,18.2,10.7,2.2,3360,12556,24390
46211,"Nuzéjouls",77.85,5,10,2,7.9,19.35,11.6,1.9,3709,14404,21090
46213,"Padirac",90.4,5,12,3,11.85,24.45,11.2,3.1,3493,13687,22460
46214,"Parnac",59.55,4,8,2,7.9,19.35,11.6,2.2,3709,14404,21990
46215,"Payrac",65,4,10,2,7.6,17.6,10.6,2.3,3360,12556,20520
46216,"Payrignac",68.2,5,10,2,6.9,17.4,10.3,1.6,3102,12018,23020
46218,"Pescadoires",61.5,4,7,2,7.9,19.35,11.6,3,3709,14404,17160
46219,"Peyrilles",77.85,5,10,2,7.6,17.6,10.6,2.3,3360,12556,19640
46220,"Pinsac",72.8,4.5,9,2,8,17.35,10.8,2.3,3268.5,12172,22100
46221,"Planioles",80.7,5,10,3,8.1,19.5,10.7,2.3,3383.5,12351.5,24430
46222,"Pomarède",61.5,4,7,2,7.9,19.35,11.6,1.6,3102,12018,23220
46223,"Pontcirq",61.5,4,7,2,7.9,19.35,11.6,1.6,3102,12018,18620
46224,"Pradines",59.55,4,8,2,6.1,17.3,10.7,2.2,3709,14404,23280
46225,"Prayssac",61.5,4,7,2,7.9,19.35,11.6,3,3709,14404,21970
46226,"Prendeignes",82.65,5,9,3,8.1,19.5,10.1,2.2,3349,12638,18420
46227,"Promilhanes",67.3,4,9,2,12.15,25.25,10.6,1.9,3310,12085,18170
46228,"Prudhomat",99.95,6,13,3,7,19.95,11.2,2.6,3493,13687,22650
46229,"Puybrun",99.95,6,13,3,7,19.95,11.2,2.6,3493,13687,21860
46231,"Puy-l'Évêque",69.3,5,9,2,7.9,19.35,11.6,2.9,3398,12700,20250
46232,"Vignon-en-Quercy",74.9,5,10,2,7.15,18.55,11.2,2.3,3268.5,12172,19810
46233,"Quissac-en-Quercy",68.2,4,9,2,5.8,18.8,10.4,3.1,3493,13687,24260
46235,"Reilhac",64.2,4,9,2,8.1,17.7,10.4,3.1,3493,13687,24560
46236,"Reilhaguet",65,4,10,2,7.6,17.6,10.6,2.3,3360,12556,22270
46237,"Reyrevignes",81.9,5,10,3,6.6,20.3,10.6,2.3,3383.5,12351.5,23290
46238,"Rignac",64.2,4,9,2,11.85,24.45,10.4,3.1,3493,13687,23340
46239,"Roc",72.8,4.5,9,2,8.2,18.2,10.7,2.2,3268.5,12172,22640
46240,"Rocamadour",64.2,4,9,2,11.85,24.45,10.7,2.8,3489,12601.5,21160
46241,"Rouffilhac",65,4,10,2,7.6,17.6,10.6,2.3,3360,12556,22750
46242,"Rudelle",81.9,5,10,3,13.25,23.6,10.4,3.1,3493,13687,21940
46243,"Rueyres",90.4,5,12,3,13.25,23.6,10.4,3.1,3493,13687,18680
