code_insee_com,nom_com,RR_med,NBJRR5_med,NBJRR1_med,NBJRR10_med,Tmin_med,Tmax_med,Tens_vap_med,Force_vent_med,Insolation_med,Rayonnement_med,niveau_vie_median_2021
31169,Escalquens,52.5,4.0,7.0,1.0,9.5,19.4,12.1,2.9,3982.0,14329.5,27790
31170,Escanecrabe,55.3,4.0,8.0,2.0,7.4,18.6,11.3,1.8,3884.0,14003.0,19790
31171,Espanès,52.1,3.0,7.0,2.0,9.5,19.4,12.1,2.9,3982.0,14329.5,31340
31172,Esparron,55.3,4.0,8.0,2.0,6.1,18.3,11.3,1.8,3884.0,14003.0,N/A - secret statistique
31173,Esperce,51.65,3.5,8.0,2.0,8.0,17.2,11.55,2.8,3522.5,13496.0,24620
31174,Estadens,106.45,6.0,7.5,4.0,7.8,18.8,11.3,1.8,3884.0,14003.0,22220
31175,Estancarbon,73.0,6.0,9.0,3.0,6.1,18.3,11.3,1.8,3884.0,14003.0,23260
31176,Esténos,77.2,5.0,9.0,2.0,0.9,11.4,9.9,1.6,3285.0,12622.0,20980
31177,Eup,77.2,5.0,9.0,2.0,0.9,11.4,9.9,1.6,3285.0,12622.0,23820
31178,Fabas,59.5,4.0,6.0,2.0,7.35,19.4,11.3,1.9,3884.0,14003.0,20310
31179,Faget,63.1,4.0,8.0,2.0,8.6,18.45,11.8,1.9,3455.0,13217.0,25640
31180,Falga,48.5,3.0,7.0,1.0,9.5,17.6,11.4,4.6,3605.0,15422.0,23560
31181,Fauga,44.85,3.0,8.0,1.0,8.2,18.8,11.5,3.3,3522.5,13496.0,24080
31182,Fenouillet,51.2,3.0,8.0,1.0,8.4,18.1,11.3,3.6,3378.0,12998.5,22940
31183,Figarol,79.8,5.0,10.0,3.0,6.1,18.3,11.3,1.8,3884.0,14003.0,21590
31184,Flourens,52.5,4.0,7.0,1.0,9.5,19.4,12.1,2.9,3982.0,14329.5,29110
31185,Folcarde,33.35,3.0,5.5,1.0,12.8,24.0,11.7,3.0,3556.0,13450.0,24870
31186,Fonbeauzard,51.2,3.0,8.0,1.0,4.6,12.4,11.3,3.6,3378.0,12998.5,23240
31187,Fonsorbes,49.9,3.0,8.0,2.0,8.2,18.8,11.5,3.3,3522.5,13496.0,25650
31188,Fontenilles,49.9,3.0,8.0,2.0,8.2,18.8,11.5,3.3,3522.5,13496.0,27860
31189,Forgues,55.6,3.0,8.0,2.0,7.95,19.45,11.9,2.5,3664.0,13465.0,25100
31190,Fos,77.2,5.0,9.0,2.0,5.45,17.9,9.9,1.6,3285.0,12622.0,19960
31191,Fougaron,85.95,5.0,10.0,3.0,7.8,18.8,11.3,1.8,3884.0,14003.0,23300
31192,Fourquevaux,54.65,4.0,8.0,1.0,9.9,19.4,12.1,2.9,3982.0,14329.5,28610
31193,Fousseret,52.4,4.0,8.0,1.0,7.35,19.4,11.3,1.9,3664.0,13465.0,22000
31194,Francarville,63.1,4.0,8.0,2.0,8.6,18.45,11.8,1.9,3455.0,13217.0,24870
31195,Francazal,64.85,4.0,9.0,2.0,7.8,18.8,10.3,2.0,3208.5,12950.0,N/A - secret statistique
31196,Francon,53.5,3.0,8.0,1.5,7.35,19.4,11.3,1.9,3884.0,14003.0,23340
31197,Franquevielle,73.0,5.0,9.0,3.0,6.55,18.25,11.1,2.2,3373.0,13106.5,23630
31198,Fréchet,79.8,5.0,10.0,3.0,6.1,18.3,11.3,1.8,3884.0,14003.0,22700
31199,Fronsac,77.2,5.0,9.0,2.0,0.9,11.4,11.1,2.2,3373.0,13106.5,22450
31200,Frontignan-de-Comminges,77.2,5.0,9.0,2.0,0.9,11.4,11.1,2.2,3373.0,13106.5,N/A - secret statistique
31201,Frontignan-Savès,59.5,4.0,6.0,2.0,9.4,18.1,11.7,3.6,3536.5,12600.5,N/A - secret statistique
31202,Fronton,53.0,4.0,8.0,2.0,8.6,19.4,12.5,2.3,3593.0,13187.0,24760
31203,Frouzins,46.9,3.0,7.0,1.0,8.8,17.9,11.5,3.3,3374.0,13251.0,25080
31204,Fustignac,53.5,3.0,8.0,1.5,7.35,19.4,11.3,1.9,3884.0,14003.0,N/A - secret statistique
31205,Gagnac-sur-Garonne,51.2,3.0,8.0,1.0,8.6,19.4,12.5,2.3,3593.0,13187.0,25090
31206,Gaillac-Toulza,57.25,4.0,8.0,2.0,8.0,17.2,11.55,2.8,3550.0,14132.5,22130
31207,Galié,61.25,5.0,6.0,3.0,0.9,11.4,11.1,2.2,3373.0,13106.5,N/A - secret statistique
31208,Ganties,73.0,6.0,9.0,3.0,6.1,18.3,11.3,1.8,3884.0,14003.0,21110
31209,Garac,57.0,4.0,9.0,2.0,9.9,17.7,12.2,3.2,3536.5,12600.5,24490
31210,Gardouch,54.65,4.0,8.0,1.0,8.4,18.35,11.7,3.0,3556.0,13450.0,25010
31211,Gargas,51.6,3.0,9.0,1.0,4.6,12.4,12.5,2.3,3593.0,13187.0,26590
31212,Garidech,51.6,3.0,9.0,1.0,4.6,12.4,12.1,2.9,3982.0,14329.5,27280
31213,Garin,103.8,7.0,13.0,4.0,4.4,12.2,6.8,1.8,3285.0,12622.0,22650
31215,Gauré,51.6,3.0,9.0,1.0,9.5,19.4,12.1,2.9,3982.0,14329.5,28450
31216,Gémil,51.6,3.0,9.0,1.0,4.6,12.4,13.0,2.9,3982.0,14329.5,27930
31217,Génos,77.2,5.0,9.0,2.0,0.9,11.4,11.1,2.2,3373.0,13106.5,N/A - secret statistique
31218,Gensac-de-Boulogne,68.35,4.0,9.0,2.0,7.4,18.6,11.2,2.2,3522.5,13426.5,15630
31219,Gensac-sur-Garonne,52.4,4.0,8.0,1.0,7.35,19.4,11.3,1.9,3664.0,13465.0,22750
31220,Gibel,48.5,3.0,7.0,1.0,7.85,18.1,11.9,3.3,3371.0,12963.0,23400
31221,Gouaux-de-Larboust,80.2,5.0,10.0,3.0,4.4,12.2,6.8,1.8,3285.0,12622.0,N/A - secret statistique
31222,Gouaux-de-Luchon,77.2,5.0,9.0,2.0,5.45,17.9,9.9,1.6,3285.0,12622.0,N/A - secret statistique
31223,Goudex,59.5,4.0,6.0,2.0,7.95,19.45,11.7,3.6,3664.0,13465.0,N/A - secret statistique
31224,Gourdan-Polignan,63.5,4.0,9.0,2.0,6.55,18.25,11.1,2.2,3373.0,13106.5,19760
31225,Goutevernisse,74.7,5.0,10.0,3.0,7.35,19.4,11.3,1.9,3664.0,13465.0,22950
31226,Gouzens,74.7,5.0,10.0,3.0,8.7,20.45,11.3,1.9,3208.5,12950.0,N/A - secret statistique
31227,Goyrans,46.9,3.0,7.0,1.0,8.8,17.9,11.5,3.3,3374.0,13251.0,38740
31228,Gragnague,51.6,3.0,9.0,1.0,4.6,12.4,12.1,2.9,3982.0,14329.5,28720
31229,Gratens,47.0,3.0,7.0,2.0,7.95,19.45,11.9,2.5,3664.0,13465.0,24140
31230,Gratentour,51.2,3.0,8.0,1.0,4.6,12.4,11.3,3.6,3378.0,12998.5,25020
31231,Grazac,51.65,3.5,8.0,2.0,8.0,17.2,11.55,2.8,3982.0,14329.5,23640
31232,Grenade,51.7,3.0,8.0,1.0,8.6,19.4,12.5,2.3,3593.0,13187.0,23810
31233,Grépiac,51.65,3.5,8.0,2.0,9.5,19.4,12.1,2.9,3982.0,14329.5,25750
31234,Grès,53.2,4.0,8.0,1.0,8.4,18.9,11.6,3.0,3834.0,14927.0,25150
31235,Guran,77.2,5.0,9.0,2.0,5.45,17.9,9.9,1.6,3285.0,12622.0,N/A - secret statistique
31236,Herran,106.45,6.0,7.5,4.0,7.8,18.8,11.3,1.8,3884.0,14003.0,N/A - secret statistique
31237,His,64.85,4.0,9.0,2.0,7.8,18.8,11.3,1.8,3884.0,14003.0,19320
31238,Huos,63.5,4.0,9.0,2.0,6.55,18.25,11.1,2.2,3373.0,13106.5,20310
31239,Isle-en-Dodon,59.5,4.0,6.0,2.0,9.4,18.1,11.7,3.6,3448.5,13400.0,19930
31240,Issus,52.1,3.0,7.0,2.0,9.5,19.4,12.1,2.9,3982.0,14329.5,27490
31241,Izaut-de-l'Hôtel,73.0,6.0,9.0,3.0,6.1,18.3,11.3,1.8,3884.0,14003.0,21710
31242,Jurvielle,103.8,7.0,13.0,4.0,4.4,12.2,6.8,1.8,3285.0,12622.0,N/A - secret statistique
31243,Juzes,48.5,3.0,7.0,1.0,8.6,18.45,11.4,4.6,3605.0,15422.0,N/A - secret statistique
31244,Juzet-de-Luchon,73.2,4.0,9.0,2.0,5.45,17.9,9.9,1.6,3285.0,12622.0,21820
31245,Juzet-d'Izaut,106.45,6.0,7.5,4.0,7.8,18.8,11.3,1.8,3884.0,14003.0,21040
31246,Labarthe-Inard,73.0,6.0,9.0,3.0,6.1,18.3,11.3,1.8,3884.0,14003.0,21970
31247,Labarthe-Rivière,58.5,4.0,9.0,2.0,6.55,18.25,11.1,2.2,3373.0,13106.5,23030
31248,Labarthe-sur-Lèze,46.9,3.0,7.0,1.0,8.8,17.9,11.5,3.3,3374.0,13251.0,24260
31249,Labastide-Beauvoir,54.65,4.0,8.0,1.0,9.9,19.4,11.7,3.0,3556.0,13450.0,25880
31250,Labastide-Clermont,55.6,3.0,8.0,2.0,7.95,19.45,11.9,2.5,3664.0,13465.0,22950
31251,Labastide-Paumès,59.5,4.0,6.0,2.0,7.35,19.4,11.3,1.9,3884.0,14003.0,19620
